id,english_name,english_description,english_meta_title,english_meta_description
7,"Karité Flower Make Up Fix Moisturizing Fix","1) Lock makeup in place after application.\n2) Provide moisturizing benefits to the skin\n3) Offer oil control, antioxidant protection, and help preserve a youthful complexion\n4) Contain natural ingredients\n5) Comes in a 220 ml spray bottle with floral-themed packaging","Karité Flower Make Up Fix Moisturizing Fix","Karité Flower Make Up Fix Moisturizing Fix"
8,"Vitalayer Vitamin C Face Gel-Cream","1) Vitamin C – Provides antioxidant protection, helps brighten the skin and even out tone\n2) Hyaluronic Acid – Deep hydration, helps maintain moisture balance and plumps the skin\n3) Gel-Cream Texture – Lightweight, absorbs quickly without leaving a greasy residue","Vitalayer Vitamin C Face Gel-Cream","Vitalayer Vitamin C Face Gel-Cream"
9,"Kiss Beauty Make Up Fix Spray – Skin Smooth Texture","1) Calendula Water–Infused: Known for its soothing and anti-inflammatory properties\n2) Makeup Fixing Spray: Helps set makeup and extend its wear time\n3) Skin-Smoothing Effect: Designed to refine texture and reduce shine\n4) Free From: Parabens, silicones, and artificial colorants\n5) Dermatologically Tested: Suitable for normal to sensitive skin types\n6) Volume: 250 ml spray bottle","Kiss Beauty Make Up Fix Spray – Skin Smooth Texture","Kiss Beauty Make Up Fix Spray – Skin Smooth Texture"
10,"Farmasi Skin Perfecting Balm BB Beauty Balm Cream – Shade: Light 01","A multi-functional BB cream designed to:\n1) Even out skin tone\n2) Cover imperfections\n3) Illuminate the complexion\n4) Moisturize and protect the skin\n5) Provide SPF 15 sun protection\n\nKey Ingredients include:\n1) Macadamia Oil\n2) Vitamin B3\n3) Oat Extract\n4) Argan Oil\n5) Silk Protein\n6) Collagen","Farmasi Skin Perfecting Balm BB Beauty Balm Cream – Shade: Light 01","Farmasi Skin Perfecting Balm BB Beauty Balm Cream – Shade: Light 01"
11,"Kiss Beauty FIT me! Make Up Fix Spray – Hydrating & Long-Lasting","A makeup setting spray designed to:\n1) Lock makeup in place for up to 24 hours\n2) Provide hydration, soothing, and antioxidant benefits\n3) Help smooth skin texture and reduce shine\n4) Suitable for normal to sensitive skin types\n5) Packaged in a blue spray bottle with matching box","Kiss Beauty FIT me! Make Up Fix Spray – Hydrating & Long-Lasting","Kiss Beauty FIT me! Make Up Fix Spray – Hydrating & Long-Lasting"
12,"Artskin Wonder Match 2-in-1 Cheek & Lip Liquid Blusher","Elevate your everyday makeup routine with the Artskin Wonder Match 2-in-1 Cheek & Lip Liquid Blusher – Shade #04, a versatile beauty essential designed to deliver a soft, radiant flush in seconds. This lightweight, buildable formula glides effortlessly onto skin and lips, blending seamlessly for a natural, dewy finish.","Artskin Wonder Match 2-in-1 Cheek & Lip Liquid Blusher","Artskin Wonder Match 2-in-1 Cheek & Lip Liquid Blusher"
13,"TAILAIMEI Professional Donkey Milk Highlight and Contour Concealer","The Donkey Milk Highlight and Contour Concealer by TAILAIMEI Professional is a dual-purpose cosmetic designed to sculpt and brighten the face using natural ingredients. Infused with organic donkey milk, this 2-in-1 concealer offers both highlighting and contouring capabilities in a single tube. The formula promises all-day flawless coverage, blending smoothly for a radiant, defined look. Ideal for users seeking a natural finish with skin-nourishing benefits.\nThe packaging features a bold, professional design with a clear window showcasing the product. It includes visual seals and labels emphasizing its organic nature and high-performance claims.","TAILAIMEI Professional Donkey Milk Highlight and Contour Concealer","TAILAIMEI Professional Donkey Milk Highlight and Contour Concealer"
14,"Genovi Biotic Hydrating & Fixing Makeup Primer","The Genovi Biotic Hydrating & Fixing Makeup Primer is a skincare-infused base designed to prep the skin before makeup application. Formulated with Vitamin E, Safflower extract, and Avocado oil, it delivers deep hydration while helping to fix and extend the wear of makeup. Ideal for dry and normal skin types, this primer creates a smooth, moisturized canvas that enhances foundation performance and longevity.","Genovi Biotic Hydrating & Fixing Makeup Primer","Genovi Biotic Hydrating & Fixing Makeup Primer"
15,"Vitalayer Whitevit Sunscreen Fluid SPF 50+","Vitalayer Whitevit Sunscreen Fluid SPF 50+ is a high-performance, dermatologically formulated sunscreen designed for broad-spectrum protection against UVA, UVB, and IR rays. It features a lightweight, invisible finish, making it ideal for everyday use without leaving a white cast or greasy residue. Infused with Solperform™ 100, its multi-resistant, oil-free, and anti-dark spot formulation suits all skin types, offering hydration and skin-brightening benefits while shielding from sun-induced damage.","Vitalayer Whitevit Sunscreen Fluid SPF 50+","Vitalayer Whitevit Sunscreen Fluid SPF 50+"
16,"MEDISUN Sun Screen Cream Foundation Effect","MEDISUN Sun Screen Cream offers SPF 40+ broad-spectrum UVA/UVB protection with the added benefit of a light foundation effect. Formulated for all skin types, its Natural Beige 2 shade gives a smooth, even-toned finish while shielding your skin from sun damage. Ideal for daily use, this compact 30 ml cream is a must-have for active lifestyles and sun-conscious care","MEDISUN Sun Screen Cream Foundation Effect","MEDISUN Sun Screen Cream Foundation Effect"
17,"Lancôme La Vie Est Belle Eau de Parfum","A sophisticated and joyful fragrance by Lancôme Paris, celebrating the beauty of life. This 15 ml vaporisateur offers a rich and enduring scent in a travel-size edition—perfect for uplifting your everyday elegance.","Lancôme La Vie Est Belle Eau de Parfum","Lancôme La Vie Est Belle Eau de Parfum"
18,"Dermo Bella","A skin health supplement typically aimed at improving complexion, skin elasticity, and overall dermatological health. It’s often marketed with ingredients like collagen, biotin, vitamins, and antioxidants, depending on formulation. The exact ingredients might vary by batch or region.","Dermo Bella","Dermo Bella"
19,"JOINT RaseX","A comprehensive joint health supplement formulated to support mobility, reduce osteoarthritic pain, and enhance joint flexibility. It combines well-known ingredients like:\nGlucosamine – for cartilage support and joint comfort\nMSM (Methylsulfonylmethane) – for reducing inflammation\nHyaluronic Acid – for joint lubrication\nVitamin C – for collagen synthesis\nSilica & Selenium – for bone strength and antioxidant protection\nVitamin D – for immune support and bone health\nThe product is designed to promote pain relief, build strong bones, and maintain immune function, particularly suitable for individuals with osteoarthritis or aging joints.","JOINT RaseX","JOINT RaseX"
20,"Immune Plus","Sustained-release capsules (60-count) Purpose: Supports the normal function of the immune system and protects cells from oxidative stress Key Ingredients:\nVitamin C, D, E\nSelenium\nZinc\nThese ingredients are widely recognized for their immunomodulatory and antioxidant properties. The sustained-release formulation helps ensure gradual absorption over time for more consistent effects.","Immune Plus","Immune Plus"
